Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,18,E-,7,Ground,18,E+,7,111745.609177181,3.75230731234615E-9,609601.150962578,497855.541785397,0.000214812133866241,2.82884935880678E-10,0,"sQ12,6(18)",v=0 18 14  5 - v=0 18 12  6
AsymmetricTop,Ground,17,E-,7,Ground,17,E+,7,111751.935988968,3.1456865374085E-9,589773.293102094,478021.357113126,0.000141934942238349,1.97627684150858E-10,0,"sQ12,5(17)",v=0 17 14  4 - v=0 17 12  5
AsymmetricTop,Ground,17,E+,8,Ground,17,E-,6,111751.935988968,3.14568653740794E-9,589773.293102094,478021.357113126,0.000141934942238322,1.97627684150823E-10,0,"sQ12,6(17)",v=0 17 14  3 - v=0 17 12  6
AsymmetricTop,Ground,16,E+,8,Ground,16,E-,6,111757.265057815,2.34482446503579E-9,571048.757516936,459291.492459121,0.0000845001943444795,1.248051185095E-10,0,"sQ12,5(16)",v=0 16 14  2 - v=0 16 12  5
AsymmetricTop,Ground,16,E-,7,Ground,16,E+,7,111757.265057816,2.34482446503621E-9,571048.757516936,459291.49245912,0.000084500194344494,1.24805118509522E-10,0,"sQ12,4(16)",v=0 16 14  3 - v=0 16 12  4
AsymmetricTop,Ground,15,E-,7,Ground,15,E+,7,111761.707429156,1.43938458104636E-9,553427.239859021,441665.532429865,0.0000419812071048064,6.60136347564337E-11,0,"sQ12,3(15)",v=0 15 14  2 - v=0 15 12  3
AsymmetricTop,Ground,15,E+,8,Ground,15,E-,6,111761.707429157,1.43938458104609E-9,553427.239859022,441665.532429865,0.0000419812071047981,6.60136347564219E-11,0,"sQ12,4(15)",v=0 15 14  1 - v=0 15 12  4
AsymmetricTop,Ground,14,E-,7,Ground,14,E+,7,111765.367508596,5.82306531943776E-10,536908.453740893,425143.086232297,0.0000139288423187531,2.3415320648605E-11,0,"sQ12,2(14)",v=0 14 14  1 - v=0 14 12  2
AsymmetricTop,Ground,14,E+,8,Ground,14,E-,6,111765.367508597,5.82306531943657E-10,536908.453740893,425143.086232296,0.0000139288423187501,2.34153206486004E-11,0,"sQ12,3(14)",v=0 14 14  0 - v=0 14 12  3
AsymmetricTop,Ground,41,E+,2,Ground,40,E+,1,111794.71796402,4.66424251490806E-10,950199.868777608,838405.150813588,0.00158769317512471,9.33283683663798E-10,0,"sR0,40(40)",v=0 41  2 39 - v=0 40  0 40
AsymmetricTop,Ground,41,O-,2,Ground,40,O-,1,111808.43523407,4.66490630035028E-10,950213.597832365,838405.162598295,0.00158763202022272,9.3359130746362E-10,0,"sR1,40(40)",v=0 41  3 39 - v=0 40  1 40
AsymmetricTop,Ground,23,O-,4,Ground,22,O-,2,111836.291644201,4.85916974460016E-9,410016.34370863,298180.05206443,0.0000253134334457718,2.6306483949543E-11,0,"uR3,20(22)",v=0 23  7 17 - v=0 22  3 20
AsymmetricTop,Ground,32,E+,6,Ground,31,E+,5,111951.986018748,1.27699530072753E-8,797707.5235365,685755.537517752,0.0069480191187701,5.23726306604599E-9,0,"sR8,23(31)",v=0 32 10 22 - v=0 31  8 23
AsymmetricTop,Ground,32,E-,5,Ground,31,E-,4,111954.482986609,1.27706310389596E-8,797707.516810548,685753.03382394,0.00694795082144935,5.23756202385839E-9,0,"sR8,24(31)",v=0 32 10 23 - v=0 31  8 24
AsymmetricTop,Ground,16,E+,7,Ground,15,E+,6,112180.742160561,6.13478826345265E-8,459291.49245912,347110.750298559,0.000572247011629174,8.54842004242589E-10,0,"sR10,5(15)",v=0 16 12  4 - v=0 15 10  5
