Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AsymmetricTop,Ground,46,E+,4,Ground,46,E-,3,12017.2305654846,1.6571755424628E-9,12420180.311555,12408163.0809895,0.431134180343391,2.80933818027591E-10,0,"qQ6,41(46)",v=0 46  6 40 - v=0 46  6 41
AsymmetricTop,Ground,12,E+,1,Ground,11,E+,2,12174.7726949481,4.94720839152998E-9,816756.771622954,804581.998928006,0.00478398777696121,1.20585189796068E-11,0,"oR2,9(11)",v=0 12  0 12 - v=0 11  2  9
AsymmetricTop,Ground,6,O+,1,Ground,6,O-,1,12589.5568954878,1.50015392175882E-7,253430.759845047,240841.202949559,0.103516605056964,5.54829234514667E-10,0,"qQ1,6(6)",v=0  6  1  5 - v=0  6  1  6
AsymmetricTop,Ground,29,E+,3,Ground,29,E-,2,13168.1550975647,4.96189343646632E-8,5037648.97124136,5024480.8161438,0.310885128147444,4.20130362310356E-10,0,"qQ4,26(29)",v=0 29  4 25 - v=0 29  4 26
AsymmetricTop,Ground,13,E+,2,Ground,13,E-,1,13313.799553344,1.95905047672654E-7,1074454.43711634,1061140.63756299,0.179219765258219,5.4700275805446E-10,0,"qQ2,12(13)",v=0 13  2 11 - v=0 13  2 12
AsymmetricTop,Ground,14,O+,2,Ground,15,O+,1,13564.8775930589,3.26669673898293E-9,1338765.78509424,1325200.90750118,0.00326802374413085,9.82191511588907E-12,0,"sP1,14(15)",v=0 14  3 11 - v=0 15  1 14
AsymmetricTop,Ground,21,O+,2,Ground,21,O-,2,14109.118856397,1.37764637970817E-7,2690708.54714077,2676599.42828437,0.243709691185305,5.55859911048888E-10,0,"qQ3,19(21)",v=0 21  3 18 - v=0 21  3 19
AsymmetricTop,Ground,38,O+,3,Ground,38,O-,3,14448.0937586948,1.30450811071686E-8,8524806.05309936,8510357.95934067,0.361840863792072,4.94902757788217E-10,0,"qQ5,34(38)",v=0 38  5 33 - v=0 38  5 34
AsymmetricTop,Ground,47,E+,4,Ground,47,E-,3,15011.2290160526,1.94655678353451E-9,12926069.1877219,12911057.9587059,0.413443941334585,5.14047335979957E-10,0,"qQ6,42(47)",v=0 47  6 41 - v=0 47  6 42
AsymmetricTop,Ground,22,E+,1,Ground,21,E+,2,15442.5239901161,1.97627997242001E-9,2609606.66649086,2594164.14250074,0.0028061033162982,8.01876213735928E-12,0,"oR2,19(21)",v=0 22  0 22 - v=0 21  2 19
